DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,CargoType,AirCargoTons,Year,Month,CargoTons_K
2014-05-01T00:00:00.000,2008-08-01,Arrival,International,Freight,49408,2008,8,49.408
2014-05-01T00:00:00.000,2008-08-01,Arrival,International,Mail,640,2008,8,0.64
2014-05-01T00:00:00.000,2008-08-01,Departure,Domestic,Freight,31244,2008,8,31.244
2014-05-01T00:00:00.000,2008-08-01,Departure,Domestic,Mail,2111,2008,8,2.111
2014-05-01T00:00:00.000,2008-08-01,Departure,International,Freight,34659,2008,8,34.659
2014-05-01T00:00:00.000,2008-08-01,Departure,International,Mail,1230,2008,8,1.23
2014-05-01T00:00:00.000,2008-09-01,Arrival,Domestic,Freight,26989,2008,9,26.989
2014-05-01T00:00:00.000,2008-09-01,Arrival,Domestic,Mail,1531,2008,9,1.531
2014-05-01T00:00:00.000,2008-09-01,Arrival,International,Freight,48853,2008,9,48.853
2014-05-01T00:00:00.000,2008-09-01,Arrival,International,Mail,720,2008,9,0.72
2014-05-01T00:00:00.000,2008-09-01,Departure,Domestic,Freight,30407,2008,9,30.407
2014-05-01T00:00:00.000,2008-09-01,Departure,Domestic,Mail,1914,2008,9,1.914
2014-05-01T00:00:00.000,2008-09-01,Departure,International,Freight,31410,2008,9,31.41
2014-05-01T00:00:00.000,2008-09-01,Departure,International,Mail,900,2008,9,0.9
2014-05-01T00:00:00.000,2008-10-01,Arrival,Domestic,Freight,29722,2008,10,29.722
2014-05-01T00:00:00.000,2008-10-01,Arrival,Domestic,Mail,1755,2008,10,1.755
2014-05-01T00:00:00.000,2008-10-01,Arrival,International,Freight,50874,2008,10,50.874
2014-05-01T00:00:00.000,2008-10-01,Arrival,International,Mail,747,2008,10,0.747
2014-05-01T00:00:00.000,2008-10-01,Departure,Domestic,Freight,33840,2008,10,33.84
2014-05-01T00:00:00.000,2008-10-01,Departure,Domestic,Mail,2152,2008,10,2.152
2014-05-01T00:00:00.000,2008-10-01,Departure,International,Freight,32479,2008,10,32.479
2014-05-01T00:00:00.000,2008-10-01,Departure,International,Mail,1136,2008,10,1.136
2014-05-01T00:00:00.000,2008-11-01,Arrival,Domestic,Freight,27881,2008,11,27.881
2014-05-01T00:00:00.000,2008-11-01,Arrival,Domestic,Mail,1543,2008,11,1.543
2014-05-01T00:00:00.000,2008-11-01,Arrival,International,Freight,41597,2008,11,41.597
2014-05-01T00:00:00.000,2008-11-01,Arrival,International,Mail,792,2008,11,0.792
2014-05-01T00:00:00.000,2008-11-01,Departure,Domestic,Freight,29409,2008,11,29.409
2014-05-01T00:00:00.000,2008-11-01,Departure,Domestic,Mail,2185,2008,11,2.185
2014-05-01T00:00:00.000,2008-11-01,Departure,International,Freight,29016,2008,11,29.016
2014-05-01T00:00:00.000,2008-11-01,Departure,International,Mail,1061,2008,11,1.061
2014-05-01T00:00:00.000,2008-12-01,Arrival,Domestic,Freight,27395,2008,12,27.395
2014-05-01T00:00:00.000,2008-12-01,Arrival,Domestic,Mail,1583,2008,12,1.583
2014-05-01T00:00:00.000,2008-12-01,Arrival,International,Freight,33879,2008,12,33.879
2014-05-01T00:00:00.000,2008-12-01,Arrival,International,Mail,988,2008,12,0.988
2014-05-01T00:00:00.000,2008-12-01,Departure,Domestic,Freight,33621,2008,12,33.621
2014-05-01T00:00:00.000,2008-12-01,Departure,Domestic,Mail,2472,2008,12,2.472
2014-05-01T00:00:00.000,2008-12-01,Departure,International,Freight,26804,2008,12,26.804
2014-05-01T00:00:00.000,2008-12-01,Departure,International,Mail,1375,2008,12,1.375
2014-05-01T00:00:00.000,2009-01-01,Arrival,Domestic,Freight,24831,2009,1,24.831
2014-05-01T00:00:00.000,2009-01-01,Arrival,Domestic,Mail,1645,2009,1,1.645
2014-05-01T00:00:00.000,2009-01-01,Arrival,International,Freight,30958,2009,1,30.958
2014-05-01T00:00:00.000,2009-01-01,Arrival,International,Mail,697,2009,1,0.697
2014-05-01T00:00:00.000,2009-01-01,Departure,Domestic,Freight,28389,2009,1,28.389
2014-05-01T00:00:00.000,2009-01-01,Departure,Domestic,Mail,2154,2009,1,2.154
2014-05-01T00:00:00.000,2009-01-01,Departure,International,Freight,23569,2009,1,23.569
2014-05-01T00:00:00.000,2009-01-01,Departure,International,Mail,986,2009,1,0.986
2014-05-01T00:00:00.000,2009-02-01,Arrival,Domestic,Freight,23020,2009,2,23.02
2014-05-01T00:00:00.000,2009-02-01,Arrival,Domestic,Mail,1391,2009,2,1.391
